toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
2027.01,335996558,FP,22h13m19.66s,333.331904,+62d51m26.59s,62.857385,4.812,1.212,2458739.508,1.46329,2.431,750,3.54656,3541.21,2149,10.5027,238.061,6168,4.29,1.28,2020-06-19 7:20,2021-10-29 12:59
2028.01,336456596,FP,22h17m44.26s,334.434433,+62d27m54.03s,62.465008,4.431,0.9,2458739.63,0.77871,1.458,670,6.16036,10057.7,2789,10.9141,609.996,7751,4,2.25,2020-06-19 7:20,2021-10-29 12:59
2029.01,445254275,FP,00h48m51.88s,12.216148,+59d23m12.18s,59.386718,2.849,-1.879,2458767.197,2.57134,3.824,920,10.7406,5344.87,2382,10.9415,910.693,7125,3.54,3.56,2020-06-19 7:20,2021-10-29 12:59
203.01,259962054,FA,02h52m04.34s,43.018076,-67d41m13.26s,-67.687016,-55.699,149.273,2459106.86,51.94509,8.094,2534,0.705818,4.34593,402,12.2423,24.7894,3203,5.01682,0.23,2018-10-22 18:35,2024-09-05 10:08
2030.01,422656370,APC,23h18m41.3s,349.672086,+68d17m57.18s,68.299217,28.247,0.652,2459880.87,1.3254567,0.975,3365,14.4076,776.933,1470,10.8489,367.355,5778,3.74,2.29,2020-06-19 7:20,2023-05-01 10:10
2031.01,470127886,PC,22h04m28.27s,331.117808,+81d33m57.42s,81.565951,25.719,2.507,2459886.046,5.7156075,4.0584797,12240.92988,13.6015651,503.1185454,1207.917661,10.7609,276.105,6664,4.44,1.18444,2020-06-19 7:20,2023-02-21 16:02
2032.01,470159478,APC,22h13m14.82s,333.311732,+81d44m23.02s,81.739729,9.1,2.1,2459737.545,17.0096703,2.228,4730,13.5294,63.3708,,10.9293,293,6542,,1.5,2020-06-19 7:20,2023-10-20 12:02
2033.01,53617134,PC,01h10m43.22s,17.680098,+65d14m58.73s,65.249648,24.971,-2.555,2459886.489,18.8243063,4.397,1915,8.51397,90.9855,860,9.46221,281.184,7014,4.05,1.95,2020-06-19 7:20,2024-08-24 10:08
2034.01,427279997,FP,23h25m31.38s,351.380744,+54d36m04.26s,54.601182,-1.535,-1.911,2458768.728,2.89453,3.327,550,6.20845,9411.16,2743,10.5682,909.511,9714,3.98,2.68,2020-06-19 7:20,2021-10-29 12:59
2035.01,53709089,PC,01h10m56.81s,17.73671,+61d05m31.59s,61.092107,-3,-0.3,2458793.505,8.51226,3.068,620,5.90105,872.772,,9.1196,359.404,9387,,2.35,2020-06-19 7:20,2021-10-29 12:59
2036.01,368320811,PC,15h32m03.58s,233.014923,+24d05m06.06s,24.085016,-17.558,15.161,2460449.232,1.261045,1.246,384,4.24615,1770.66,1807,8.97913,231.827,6549,3.89,2.18,2020-06-19 7:20,2024-08-13 10:08
2037.01,405559035,PC,15h39m26.71s,234.861293,+55d09m12.59s,55.153498,-11.969,-23.747,2459639.813,11.1516668,4.623,580,2.91771,206.982,1056,10.67,263.958,6319,4.38,1.19,2020-06-19 7:20,2025-08-01 10:05
2037.02,405559035,PC,15h39m26.71s,234.861293,+55d09m12.59s,55.153498,-11.969,-23.747,2459637.781,5.5470937,3.4350999,550.6948044,2.8717764,464.0413077,1183.747051,10.67,263.958,6319,4.38,1.1913199,2025-07-17 18:08,2025-07-22 12:04
2038.01,235937532,APC,19h35m39.5s,293.914601,+81d33m17.25s,81.554791,-2.776,-0.542,2459913.436,3.7321195,5.738,4180,19.158,5711.67,2421,10.5352,603.172,6570,3.68,2.8,2020-06-19 7:20,2023-03-16 16:02
2039.01,237071229,PC,20h28m05.46s,307.022746,+61d52m17.08s,61.871411,-17.586,-19.725,2460539.787,11.2479927,3.142,1277,4.96692,106.719,895,10.4719,276.053,6308,4.19,1.48,2020-06-19 7:20,2024-11-14 10:08
204.01,281781375,PC,00h51m54.24s,12.97601,-59d20m37.13s,-59.343647,88.887,-148.96,2458328.034,43.8297863,4.3011392,647.2685163,2.8243863,15.6569489,507.3369958,9.2182,95.3428,5605,4.39973,1.03654,2018-11-14 15:06,2024-04-25 10:08
